traj_id,文件名,bean_code,drop_code,①号位豆子,②号位豆子,③号位豆子,数字1在几号位,数字2在几号位,数字3在几号位,数字4在几号位,数字5在几号位
66,P0066.BIN,1,6,黄豆,白芸豆,绿豆,④号位,⑦号位,⑤号位,⑥号位,⑧号位
67,P0067.BIN,1,7,黄豆,白芸豆,绿豆,④号位,⑦号位,⑥号位,⑤号位,⑧号位
68,P0068.BIN,1,8,黄豆,白芸豆,绿豆,④号位,⑦号位,⑧号位,⑤号位,⑥号位
69,P0069.BIN,1,9,黄豆,白芸豆,绿豆,④号位,⑧号位,⑤号位,⑥号位,⑦号位
70,P0070.BIN,1,10,黄豆,白芸豆,绿豆,④号位,⑧号位,⑥号位,⑤号位,⑦号位
71,P0071.BIN,1,11,黄豆,白芸豆,绿豆,④号位,⑧号位,⑦号位,⑤号位,⑥号位
72,P0072.BIN,1,12,黄豆,白芸豆,绿豆,⑤号位,④号位,⑥号位,⑦号位,⑧号位
73,P0073.BIN,1,13,黄豆,白芸豆,绿豆,⑤号位,④号位,⑦号位,⑥号位,⑧号位
74,P0074.BIN,1,14,黄豆,白芸豆,绿豆,⑤号位,④号位,⑧号位,⑥号位,⑦号位
75,P0075.BIN,1,15,黄豆,白芸豆,绿豆,⑤号位,⑥号位,④号位,⑦号位,⑧号位
76,P0076.BIN,1,16,黄豆,白芸豆,绿豆,⑤号位,⑥号位,⑦号位,④号位,⑧号位
77,P0077.BIN,1,17,黄豆,白芸豆,绿豆,⑤号位,⑥号位,⑧号位,④号位,⑦号位
78,P0078.BIN,1,18,黄豆,白芸豆,绿豆,⑤号位,⑦号位,④号位,⑥号位,⑧号位
79,P0079.BIN,1,19,黄豆,白芸豆,绿豆,⑤号位,⑦号位,⑥号位,④号位,⑧号位
80,P0080.BIN,1,20,黄豆,白芸豆,绿豆,⑤号位,⑦号位,⑧号位,④号位,⑥号位
81,P0081.BIN,1,21,黄豆,白芸豆,绿豆,⑤号位,⑧号位,④号位,⑥号位,⑦号位
82,P0082.BIN,1,22,黄豆,白芸豆,绿豆,⑤号位,⑧号位,⑥号位,④号位,⑦号位
83,P0083.BIN,1,23,黄豆,白芸豆,绿豆,⑤号位,⑧号位,⑦号位,④号位,⑥号位
84,P0084.BIN,1,24,黄豆,白芸豆,绿豆,⑥号位,④号位,⑤号位,⑦号位,⑧号位
85,P0085.BIN,1,25,黄豆,白芸豆,绿豆,⑥号位,④号位,⑦号位,⑤号位,⑧号位
86,P0086.BIN,1,26,黄豆,白芸豆,绿豆,⑥号位,④号位,⑧号位,⑤号位,⑦号位
87,P0087.BIN,1,27,黄豆,白芸豆,绿豆,⑥号位,⑤号位,④号位,⑦号位,⑧号位
88,P0088.BIN,1,28,黄豆,白芸豆,绿豆,⑥号位,⑤号位,⑦号位,④号位,⑧号位
89,P0089.BIN,1,29,黄豆,白芸豆,绿豆,⑥号位,⑤号位,⑧号位,④号位,⑦号位
90,P0090.BIN,1,30,黄豆,白芸豆,绿豆,⑥号位,⑦号位,④号位,⑤号位,⑧号位
91,P0091.BIN,1,31,黄豆,白芸豆,绿豆,⑥号位,⑦号位,⑤号位,④号位,⑧号位
92,P0092.BIN,1,32,黄豆,白芸豆,绿豆,⑥号位,⑦号位,⑧号位,④号位,⑤号位
93,P0093.BIN,1,33,黄豆,白芸豆,绿豆,⑥号位,⑧号位,④号位,⑤号位,⑦号位
94,P0094.BIN,1,34,黄豆,白芸豆,绿豆,⑥号位,⑧号位,⑤号位,④号位,⑦号位
95,P0095.BIN,1,35,黄豆,白芸豆,绿豆,⑥号位,⑧号位,⑦号位,④号位,⑤号位
96,P0096.BIN,1,36,黄豆,白芸豆,绿豆,⑦号位,④号位,⑤号位,⑥号位,⑧号位
97,P0097.BIN,1,37,黄豆,白芸豆,绿豆,⑦号位,④号位,⑥号位,⑤号位,⑧号位
98,P0098.BIN,1,38,黄豆,白芸豆,绿豆,⑦号位,④号位,⑧号位,⑤号位,⑥号位
99,P0099.BIN,1,39,黄豆,白芸豆,绿豆,⑦号位,⑤号位,④号位,⑥号位,⑧号位
100,P0100.BIN,1,40,黄豆,白芸豆,绿豆,⑦号位,⑤号位,⑥号位,④号位,⑧号位
101,P0101.BIN,1,41,黄豆,白芸豆,绿豆,⑦号位,⑤号位,⑧号位,④号位,⑥号位
102,P0102.BIN,1,42,黄豆,白芸豆,绿豆,⑦号位,⑥号位,④号位,⑤号位,⑧号位
103,P0103.BIN,1,43,黄豆,白芸豆,绿豆,⑦号位,⑥号位,⑤号位,④号位,⑧号位
104,P0104.BIN,1,44,黄豆,白芸豆,绿豆,⑦号位,⑥号位,⑧号位,④号位,⑤号位
105,P0105.BIN,1,45,黄豆,白芸豆,绿豆,⑦号位,⑧号位,④号位,⑤号位,⑥号位
106,P0106.BIN,1,46,黄豆,白芸豆,绿豆,⑦号位,⑧号位,⑤号位,④号位,⑥号位
107,P0107.BIN,1,47,黄豆,白芸豆,绿豆,⑦号位,⑧号位,⑥号位,④号位,⑤号位
108,P0108.BIN,1,48,黄豆,白芸豆,绿豆,⑧号位,④号位,⑤号位,⑥号位,⑦号位
109,P0109.BIN,1,49,黄豆,白芸豆,绿豆,⑧号位,④号位,⑥号位,⑤号位,⑦号位
110,P0110.BIN,1,50,黄豆,白芸豆,绿豆,⑧号位,④号位,⑦号位,⑤号位,⑥号位
111,P0111.BIN,1,51,黄豆,白芸豆,绿豆,⑧号位,⑤号位,④号位,⑥号位,⑦号位
